0, -1.2, 0.8, 0
1, -2.30718, 1.32782, 0.307179
2, -3.748, 1.522, 0.113005
3, -5.31157, 1.59343, 0.0415722
4, -6.92029, 1.61971, 0.0152936
5, -8.54563, 1.62937, 0.00562619
6, -10.1771, 1.63293, 0.00206976
7, -11.8108, 1.63424, 0.000761421
8, -13.4453, 1.63472, 0.000280111
9, -15.0801, 1.6349, 0.000103047
10, -16.715, 1.63496, 3.79089e-05
11, -18.35, 1.63499, 1.39459e-05
## (t = 12 s) Jacques a atteint sa vitesse maximale (5.13042e-06 ms-2)
12, -19.985, 1.63499, 5.13042e-06
13, -21.62, 1.635, 1.88738e-06
14, -23.255, 1.635, 6.94326e-07
15, -24.89, 1.635, 2.55428e-07
16, -26.525, 1.635, 9.39669e-08
17, -28.16, 1.635, 3.45685e-08
18, -29.795, 1.635, 1.2717e-08
19, -31.43, 1.635, 4.67834e-09
20, -33.065, 1.635, 1.72106e-09
21, -34.7, 1.635, 6.33144e-10
22, -36.335, 1.635, 2.32921e-10
23, -37.97, 1.635, 8.56867e-11
24, -39.605, 1.635, 3.15224e-11
## (t = 25 s) Jacques a atteint la profondeur desirée (-41.24 m)
25, -41.24, 1.635, 1.15964e-11
26, -42.875, 1.635, 4.26609e-12
## (t = 27 s) Jacques s’arrête et gonfle son balon (-44.51 m)
27, -44.51, 1.635, 1.56941e-12
28, -43.6078, -1.55028, -0.902224
29, -41.7256, -2.12059, -0.33191
30, -39.4829, -2.3304, -0.122103
31, -37.1076, -2.40758, -0.0449191
32, -34.6835, -2.43598, -0.0165248
33, -32.2414, -2.44642, -0.00607914
34, -29.7928, -2.45026, -0.00223639
35, -27.3417, -2.45168, -0.000822722
36, -24.8897, -2.4522, -0.000302663
37, -22.4374, -2.45239, -0.000111343
38, -19.985, -2.45246, -4.09609e-05
39, -17.5325, -2.45248, -1.50687e-05
40, -15.08, -2.45249, -5.54346e-06
41, -12.6275, -2.4525, -2.03932e-06
42, -10.175, -2.4525, -7.50225e-07
43, -7.7225, -2.4525, -2.75993e-07
44, -5.27, -2.4525, -1.01532e-07
45, -2.8175, -2.4525, -3.73515e-08
46, -0.365, -2.4525, -1.37409e-08
## (t = 47 s) Jacques est de retour à la surface (2.0875 m)
